8
2
2

Arcs
0	1	1
0	2	1
1	0	1
1	3	1
2	0	1
2	3	1
2	4	2
2	5	2
3	1	1
3	2	1
3	5	1
3	6	1
4	2	2
4	5	2
4	7	1
5	2	2
5	3	1
5	4	2
5	6	1
5	7	3
6	3	1
6	5	1
6	7	4
7	4	1
7	5	3
7	6	4
EndArcs

source	dest	demand	tCap	nbTrucks
0	1	7	4000	30	3
1	2	7	8000	30	6

Arcs	r	risque
commodity
0	1	0	1
0	2	0	2
1	0	0	1
1	3	0	0
2	0	0	2
2	3	0	1
2	4	0	2
2	5	0	2
3	1	0	0
3	2	0	1
3	5	0	1
3	6	0	0
4	2	0	2
4	5	0	2
4	7	0	2
5	2	0	2
5	3	0	1
5	4	0	2
5	6	0	1
5	7	0	2
6	3	0	0
6	5	0	1
6	7	0	1
7	4	0	2
7	5	0	2
7	6	0	1
0	1	1	1
0	2	1	0
1	0	1	1
1	3	1	2
2	0	1	0
2	3	1	1
2	4	1	0
2	5	1	1
3	1	1	2
3	2	1	1
3	5	1	2
3	6	1	2
4	2	1	0
4	5	1	1
4	7	1	1
5	2	1	1
5	3	1	2
5	4	1	1
5	6	1	2
5	7	1	2
6	3	1	2
6	5	1	2
6	7	1	2
7	4	1	1
7	5	1	2
7	6	1	2
commodity
0	1	0	22
0	2	0	30
1	0	0	22
1	3	0	26
2	0	0	30
2	3	0	28
2	4	0	40
2	5	0	34
3	1	0	26
3	2	0	28
3	5	0	28
3	6	0	22
4	2	0	40
4	5	0	34
4	7	0	30
5	2	0	34
5	3	0	28
5	4	0	34
5	6	0	22
5	7	0	34
6	3	0	22
6	5	0	22
6	7	0	32
7	4	0	30
7	5	0	34
7	6	0	32
0	1	1	26
0	2	1	24
1	0	1	26
1	3	1	36
2	0	1	24
2	3	1	34
2	4	1	26
2	5	1	32
3	1	1	36
3	2	1	34
3	5	1	38
3	6	1	36
4	2	1	26
4	5	1	38
4	7	1	18
5	2	1	32
5	3	1	38
5	4	1	38
5	6	1	34
5	7	1	40
6	3	1	36
6	5	1	34
6	7	1	40
7	4	1	18
7	5	1	40
7	6	1	40
EndCommodities
